date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph tc (nounit);Température (°c)
;;7.647;5.0;9.44;6.78;12.003
;;7.672;5.0;9.44;6.78;12.002
;;7.701;5.0;9.44;6.78;12.001
;;7.725;5.0;9.44;6.78;12.001
;;7.764;5.0;9.43;6.78;12.0
;;7.774;5.0;9.43;6.77;12.0
;;7.799;5.0;9.43;6.77;11.999
;;8.452;5.0;9.42;6.78;11.996
;;8.455;5.0;9.42;6.77;11.996
;;8.456;5.0;9.42;6.78;11.996
;;8.462;5.0;9.42;6.77;11.996
;;8.471;5.0;9.42;6.77;11.996
;;8.481;5.0;9.42;6.77;11.996
;;8.486;5.0;9.42;6.77;11.996
;;8.502;5.0;9.43;6.77;11.996
;;8.503;5.0;9.42;6.77;11.995
;;8.562;5.0;9.42;6.77;11.995
;;8.59;5.0;9.43;6.77;11.999
;;8.632;5.0;9.43;6.77;11.998
;;8.658;5.0;9.43;6.77;11.995
;;8.686;5.0;9.43;6.77;11.995
;;8.694;5.0;9.43;6.77;11.998
;;8.709;5.0;9.43;6.77;11.997
;;8.739;5.0;9.43;6.77;11.997
;;8.749;5.0;9.43;6.77;11.995
;;8.757;5.0;9.43;6.77;11.996
;;8.772;5.0;9.43;6.77;11.995
;;8.782;5.0;9.43;6.77;11.996
;;8.784;5.0;9.43;6.77;11.995
;;8.786;5.0;9.43;6.77;11.996
;;8.79;5.0;9.43;6.77;11.996
;;9.279;5.0;9.42;6.77;11.995
;;9.459;5.0;9.42;6.77;11.995
;;9.651;5.0;9.42;6.77;11.994
;;9.75;5.0;9.42;6.77;11.994
;;9.802;5.0;9.42;6.76;11.993
;;9.938;5.0;9.42;6.76;11.993
;;10.008;5.0;9.42;6.76;11.992
;;10.071;5.0;9.42;6.76;11.992
;;10.112;5.0;9.42;6.76;11.991
;;10.148;5.0;9.42;6.75;11.991
;;10.18;5.0;9.42;6.74;11.989
;;10.181;5.0;9.42;6.75;11.991
;;10.184;5.0;9.42;6.74;11.989
;;10.185;5.0;9.42;6.74;11.99
;;10.191;5.0;9.42;6.75;11.99
;;10.193;5.0;9.42;6.74;11.99
;;10.199;5.0;9.42;6.75;11.99
;;10.2;5.0;9.42;6.75;11.99
;;10.205;5.0;9.42;6.74;11.99
;;10.223;5.0;9.42;6.74;11.99
;;10.244;5.0;9.42;6.74;11.99
;;10.267;5.0;9.42;6.73;11.99
;;10.293;5.0;9.42;6.73;11.989
;;10.322;5.0;9.42;6.73;11.99
;;11.137;5.0;9.42;6.32;11.99
;;11.212;5.0;9.42;6.28;11.99
;;11.261;5.0;9.42;6.32;11.99
;;11.275;5.9;7.58;6.69;12.025
;;11.276;5.0;9.42;6.35;11.99
;;11.277;6.3;7.68;6.71;12.025
;;11.279;5.7;7.44;6.65;12.024
;;11.282;6.6;7.67;6.7;12.026
;;11.287;5.5;6.97;6.63;12.024
;;11.288;7.1;7.57;6.69;12.027
;;11.294;7.6;7.1;6.69;12.028
;;11.295;5.4;6.93;6.61;12.023
;;11.299;5.1;9.41;6.36;11.991
;;11.3;8.1;6.88;6.69;12.029
;;11.302;5.3;6.9;6.59;12.022
;;11.306;5.1;9.41;6.38;11.993
;;11.307;8.5;6.62;6.68;12.03
;;11.308;5.2;7.01;6.48;12.02
;;11.309;5.1;9.39;6.39;11.994
;;11.31;5.1;8.92;6.41;11.996
;;11.311;5.1;8.73;6.42;11.998
;;11.312;5.1;8.48;6.43;12.001
;;11.313;5.1;7.62;6.46;12.01
;;11.317;9.5;6.29;6.68;12.031
;;0.001;0.4;6.5;15.51;19.09
;;0.002;0.5;6.65;15.37;19.172
;;0.003;0.3;6.47;15.91;18.928
;;0.004;5.3;7.52;12.13;13.525
;;0.005;5.3;7.52;12.13;13.525
;;0.006;5.3;7.52;12.12;13.525
;;0.007;5.3;7.52;12.11;13.525
;;0.008;5.3;7.52;12.11;13.525
;;0.009;5.3;7.52;12.11;13.524
;;0.01;5.3;7.52;12.1;13.524
;;0.011;5.3;7.52;12.09;13.523
;;0.012;5.3;7.52;12.08;13.523
;;0.013;5.3;7.52;12.08;13.523
;;0.014;5.3;7.52;12.07;13.523
;;0.015;5.3;7.52;12.07;13.523
;;0.016;5.3;7.52;12.07;13.523
;;0.017;5.3;7.52;12.06;13.523
;;0.018;5.2;7.52;12.06;13.524
;;0.019;5.2;7.52;12.05;13.524
;;0.02;5.2;7.52;12.05;13.525
;;0.021;5.2;7.52;12.04;13.525
;;0.022;5.2;7.52;12.04;13.524
;;0.023;5.2;7.52;12.04;13.522
;;0.024;5.2;7.52;12.03;13.521
;;0.026;5.3;7.52;12.02;13.518
;;0.027;5.3;7.52;12.01;13.517
;;0.028;5.3;7.52;12.01;13.515
;;0.029;5.3;7.52;12.0;13.513
;;0.03;5.3;7.52;11.99;13.512
;;0.031;5.3;7.52;11.99;13.511
;;0.032;5.3;7.52;11.98;13.51
;;0.033;5.3;7.52;11.98;13.511
;;0.034;5.3;7.52;11.97;13.516
;;0.035;5.3;7.52;11.96;13.517
;;0.04;5.2;7.52;11.78;13.516
;;0.045;5.2;7.52;11.77;13.514
;;0.052;5.2;7.52;11.77;13.512
;;0.061;5.2;7.52;11.77;13.508
;;0.07;5.2;7.52;11.76;13.502
;;0.082;5.2;7.52;11.76;13.496
;;0.091;5.2;7.51;11.76;13.489
;;0.103;5.2;7.51;11.75;13.48
;;0.117;5.2;7.51;11.75;13.47
;;0.132;5.2;7.51;11.75;13.46
;;0.152;5.2;7.51;11.75;13.447
;;0.17;5.2;7.51;11.75;13.434
;;0.191;5.2;7.51;11.74;13.42
;;0.939;5.2;7.51;11.74;13.393
;;0.952;5.2;7.51;11.74;13.378
;;0.96;5.2;7.5;11.74;13.363
;;1.004;5.2;7.5;11.74;13.35
;;1.068;5.2;7.5;11.74;13.335
;;1.109;5.3;7.5;11.73;13.323
;;1.142;5.3;7.5;11.73;13.311
;;1.169;5.3;7.5;11.73;13.299
;;1.188;5.3;7.5;11.73;13.288
;;1.215;5.3;7.5;11.73;13.279
;;1.233;5.3;7.5;11.73;13.271
;;1.25;5.3;7.5;11.73;13.265
;;1.275;5.3;7.5;11.72;13.257
;;1.301;5.3;7.5;11.72;13.249
;;1.329;5.3;7.5;11.72;13.237
;;1.358;5.3;7.5;11.72;13.225
;;1.385;5.3;7.5;11.72;13.21
;;1.413;5.3;7.5;11.72;13.196
;;1.448;5.3;7.5;11.72;13.18
;;1.475;5.3;7.5;11.72;13.165
;;1.503;5.2;7.5;11.72;13.146
;;1.531;5.3;7.5;11.72;13.128
;;1.562;5.2;7.5;11.72;13.112
;;1.589;5.2;7.5;11.72;13.094
;;1.616;5.2;7.5;11.72;13.078
;;1.643;5.2;7.5;11.72;13.062
;;1.676;5.2;7.5;11.72;13.049
;;2.502;5.2;7.5;11.72;13.037
;;2.555;5.2;7.5;11.72;13.029
;;2.589;5.2;7.5;11.72;13.02
;;2.599;5.2;7.5;11.72;13.014
;;2.608;5.2;7.5;11.72;13.009
;;2.635;5.2;7.5;11.72;13.006
;;2.665;5.2;7.51;11.72;13.003
;;2.69;5.2;7.51;11.72;13.0
;;2.72;5.2;7.51;11.72;12.998
;;2.75;5.2;7.51;11.72;12.996
;;2.779;5.3;7.51;11.72;12.994
;;2.804;5.3;7.51;11.72;12.992
;;2.824;5.3;7.51;11.72;12.991
;;2.846;5.3;7.51;11.72;12.99
;;2.869;5.3;7.51;11.72;12.988
;;2.895;5.3;7.51;11.71;12.987
;;2.924;5.3;7.51;11.71;12.985
;;2.96;5.3;7.51;11.71;12.984
;;2.992;5.3;7.51;11.71;12.982
;;3.024;5.3;7.51;11.71;12.981
;;3.054;5.3;7.51;11.7;12.98
;;3.091;5.3;7.51;11.7;12.979
;;3.121;5.3;7.51;11.7;12.978
;;3.15;5.3;7.51;11.7;12.977
;;3.181;5.3;7.51;11.7;12.975
;;3.952;5.2;7.51;11.69;12.972
;;3.953;5.2;7.51;11.69;12.973
;;4.051;5.3;7.51;11.69;12.971
;;4.069;5.3;7.51;11.69;12.97
;;4.128;5.3;7.51;11.69;12.969
;;4.179;5.3;7.51;11.68;12.968
;;4.201;5.3;7.51;11.68;12.966
;;4.224;5.3;7.51;11.68;12.965
;;4.248;5.3;7.51;11.68;12.963
;;4.281;5.3;7.51;11.67;12.961
;;4.318;5.3;7.51;11.67;12.96
;;4.348;5.3;7.51;11.67;12.958
;;4.376;5.3;7.51;11.67;12.957
;;4.403;5.3;7.51;11.67;12.956
;;4.435;5.3;7.51;11.66;12.953
;;4.463;5.3;7.51;11.66;12.951
;;4.494;5.3;7.51;11.66;12.948
;;4.527;5.3;7.51;11.66;12.946
;;4.565;5.3;7.51;11.66;12.943
;;4.597;5.3;7.51;11.66;12.94
;;4.628;5.3;7.51;11.65;12.937
;;4.66;5.3;7.51;11.65;12.934
;;4.692;5.3;7.51;11.65;12.932
;;4.727;5.3;7.51;11.65;12.93
;;4.756;5.3;7.51;11.65;12.927
;;5.515;5.3;7.5;11.65;12.924
;;5.528;5.3;7.5;11.64;12.92
;;5.6;5.3;7.5;11.64;12.918
;;5.664;5.3;7.5;11.64;12.915
;;5.719;5.3;7.5;11.64;12.914
;;5.816;5.3;7.5;11.64;12.912
;;5.878;5.3;7.5;11.64;12.91
;;5.934;5.3;7.5;11.63;12.908
;;5.977;5.3;7.5;11.63;12.906
;;6.022;5.3;7.5;11.63;12.904
;;6.063;5.3;7.5;11.63;12.902
;;6.106;5.3;7.5;11.62;12.899
;;6.141;5.3;7.5;11.62;12.898
;;6.176;5.3;7.5;11.62;12.897
;;6.21;5.3;7.5;11.61;12.895
;;6.253;5.3;7.49;11.61;12.894
;;6.285;5.3;7.49;11.61;12.893
;;6.32;5.3;7.49;11.61;12.892
;;6.357;5.3;7.49;11.6;12.891
;;6.399;5.3;7.49;11.6;12.891
;;6.435;5.3;7.49;11.6;12.89
;;6.469;5.3;7.49;11.6;12.89
;;7.223;5.3;7.49;11.59;12.889
;;7.278;5.3;7.49;11.59;12.888
;;7.373;5.3;7.49;11.59;12.887
;;7.473;5.3;7.49;11.58;12.885
;;7.503;5.3;7.49;11.58;12.883
;;7.538;5.3;7.49;11.58;12.881
;;7.573;5.3;7.49;11.58;12.878
;;7.613;5.3;7.48;11.58;12.876
;;7.657;5.3;7.48;11.57;12.873
;;7.704;5.3;7.48;11.57;12.871
;;7.753;5.3;7.48;11.57;12.869
;;7.809;5.3;7.48;11.57;12.867
;;7.856;5.3;7.48;11.56;12.864
;;7.901;5.3;7.48;11.56;12.862
;;7.95;5.3;7.48;11.56;12.86
;;7.989;5.3;7.48;11.56;12.858
;;8.025;5.3;7.48;11.56;12.857
;;8.059;5.3;7.48;11.56;12.856
;;8.094;5.3;7.47;11.55;12.855
;;8.129;5.2;7.47;11.55;12.854
;;8.173;5.3;7.47;11.55;12.853
;;8.96;5.3;7.47;11.55;12.852
;;9.016;5.3;7.47;11.54;12.852
;;9.161;5.3;7.47;11.54;12.851
;;9.247;5.3;7.47;11.54;12.85
;;9.266;5.3;7.47;11.54;12.85
;;9.312;5.3;7.47;11.54;12.85
;;9.372;5.3;7.47;11.54;12.85
;;9.436;5.2;7.47;11.53;12.85
;;9.483;5.2;7.47;11.53;12.849
;;9.524;5.2;7.47;11.53;12.849
;;9.566;5.2;7.47;11.53;12.849
;;9.608;5.2;7.47;11.53;12.849
;;9.658;5.2;7.47;11.52;12.849
;;9.694;5.2;7.46;11.52;12.848
;;9.732;5.2;7.46;11.52;12.848
;;9.772;5.2;7.46;11.52;12.848
;;9.822;5.2;7.46;11.52;12.848
;;9.866;5.2;7.46;11.52;12.848
;;9.91;5.2;7.46;11.51;12.848
;;10.689;5.2;7.46;11.51;12.848
;;10.728;5.2;7.46;11.51;12.848
;;10.879;5.2;7.46;11.51;12.848
;;10.888;5.2;7.46;11.51;12.848
;;10.914;5.2;7.46;11.51;12.848
;;10.939;5.2;7.46;11.5;12.849
;;11.002;5.2;7.46;11.5;12.849
;;11.061;5.2;7.46;11.5;12.849
;;11.119;5.2;7.46;11.5;12.849
;;11.177;5.3;7.46;11.5;12.85
;;11.233;5.3;7.46;11.5;12.85
;;11.294;5.3;7.46;11.49;12.851
;;11.338;5.3;7.45;11.49;12.851
;;11.378;5.3;7.45;11.49;12.851
;;11.418;5.3;7.45;11.48;12.851
;;11.461;5.3;7.45;11.48;12.851
;;11.493;5.3;7.45;11.47;12.851
;;11.522;5.3;7.45;11.46;12.851
;;11.549;5.3;7.45;11.46;12.85
;;11.578;5.3;7.45;11.45;12.85
;;11.6;5.4;7.45;11.44;12.849
;;11.621;5.4;7.44;11.44;12.848
;;11.639;5.5;7.44;11.43;12.846
;;11.659;5.6;7.44;11.43;12.845
;;11.674;5.6;7.44;11.42;12.842
;;11.687;5.7;7.44;11.42;12.84
;;11.7;5.8;7.44;11.41;12.839
;;11.711;5.8;7.44;11.41;12.838
;;11.721;5.9;7.44;11.4;12.836
;;11.723;6.0;7.43;11.4;12.833
