nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.986;6.0;10.79;7.29;10.49
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.006;6.0;10.79;7.29;10.49
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.026;6.0;10.79;7.29;10.491
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.045;6.0;10.79;7.29;10.491
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.069;6.0;10.79;7.29;10.491
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.089;6.0;10.79;7.28;10.491
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.109;6.0;10.79;7.28;10.491
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.129;6.0;10.79;7.28;10.49
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.152;6.0;10.79;7.28;10.49
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.171;6.0;10.79;7.28;10.489
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.191;6.0;10.79;7.28;10.488
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.21;6.0;10.79;7.28;10.487
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.234;6.0;10.79;7.28;10.487
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.253;6.0;10.79;7.28;10.486
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.273;6.0;10.79;7.28;10.486
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.292;6.0;10.79;7.28;10.486
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.312;6.0;10.79;7.28;10.485
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.334;6.0;10.79;7.27;10.485
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.353;6.0;10.79;7.27;10.486
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.373;6.0;10.79;7.27;10.486
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.392;6.0;10.79;7.27;10.486
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.415;6.0;10.79;7.27;10.487
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.434;6.0;10.79;7.27;10.487
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.453;6.0;10.78;7.26;10.486
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.473;6.0;10.78;7.26;10.486
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.496;6.0;10.78;7.26;10.486
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.515;6.0;10.78;7.26;10.485
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.535;6.0;10.78;7.26;10.485
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.555;6.0;10.78;7.26;10.484
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.574;6.0;10.78;7.26;10.484
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.598;6.0;10.78;7.26;10.483
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.619;6.0;10.78;7.26;10.482
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.64;6.0;10.78;7.25;10.481
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.661;6.0;10.78;7.25;10.481
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.687;6.0;10.77;7.25;10.48
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.709;6.0;10.77;7.25;10.479
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.731;6.0;10.77;7.25;10.479
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.753;6.0;10.77;7.25;10.478
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.78;6.0;10.77;7.25;10.478
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.802;6.0;10.77;7.24;10.478
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.825;6.0;10.77;7.24;10.478
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.848;6.0;10.77;7.24;10.477
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.871;6.0;10.77;7.24;10.477
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.9;6.0;10.77;7.24;10.476
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.924;6.0;10.77;7.24;10.476
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.948;6.0;10.77;7.24;10.475
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;3.973;6.0;10.77;7.24;10.475
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.002;6.0;10.77;7.24;10.475
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.026;6.0;10.77;7.23;10.475
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.051;6.0;10.77;7.23;10.475
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.075;6.0;10.77;7.23;10.474
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.105;6.0;10.77;7.23;10.474
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.129;6.0;10.77;7.23;10.473
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.154;6.0;10.76;7.23;10.473
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.179;6.0;10.76;7.22;10.473
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.209;6.0;10.76;7.22;10.472
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.234;6.0;10.76;7.22;10.472
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.258;6.0;10.76;7.22;10.471
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.283;6.0;10.76;7.22;10.471
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.308;6.0;10.76;7.22;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.338;6.0;10.76;7.22;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.363;6.0;10.76;7.22;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.388;6.0;10.76;7.22;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.414;6.0;10.76;7.22;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.444;6.0;10.76;7.21;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.47;6.0;10.76;7.21;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.495;6.0;10.76;7.21;10.469
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.521;6.0;10.76;7.21;10.469
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.546;6.0;10.76;7.21;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.576;6.0;10.76;7.21;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.6;6.0;10.76;7.21;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.624;6.0;10.76;7.21;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.648;6.0;10.76;7.21;10.471
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.677;6.0;10.76;7.21;10.471
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.7;6.0;10.75;7.2;10.471
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.724;6.0;10.75;7.2;10.471
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.748;6.0;10.75;7.2;10.471
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.776;6.0;10.75;7.2;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.799;6.0;10.75;7.2;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.822;6.0;10.75;7.2;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.844;6.0;10.75;7.2;10.47
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.871;6.0;10.75;7.2;10.469
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.893;6.0;10.75;7.2;10.469
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.916;6.0;10.75;7.2;10.468
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.939;6.0;10.75;7.2;10.467
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.962;6.0;10.75;7.2;10.467
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;4.99;6.0;10.75;7.2;10.467
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.012;6.0;10.75;7.19;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.035;6.0;10.75;7.19;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.058;6.0;10.75;7.19;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.085;6.0;10.75;7.19;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.108;6.0;10.75;7.19;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.131;6.0;10.75;7.19;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.153;6.0;10.75;7.19;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.176;6.0;10.75;7.19;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.204;6.0;10.75;7.19;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.227;6.0;10.75;7.18;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.25;6.0;10.75;7.18;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.273;6.0;10.74;7.18;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.3;6.0;10.74;7.18;10.466
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.323;6.0;10.74;7.18;10.465
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.346;6.0;10.74;7.18;10.465
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.369;6.0;10.74;7.18;10.465
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.397;6.0;10.74;7.18;10.465
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.42;6.0;10.74;7.17;10.465
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.443;6.0;10.74;7.17;10.465
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.466;6.0;10.74;7.17;10.465
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.489;6.0;10.74;7.17;10.465
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.517;6.0;10.74;7.17;10.464
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.54;6.0;10.74;7.17;10.464
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.564;6.0;10.74;7.17;10.464
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.587;6.0;10.74;7.17;10.465
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.615;6.0;10.74;7.17;10.465
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.638;6.0;10.74;7.16;10.464
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.662;6.0;10.74;7.16;10.464
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.685;6.0;10.74;7.16;10.464
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.713;6.0;10.74;7.16;10.464
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.736;6.0;10.74;7.16;10.464
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.759;6.0;10.74;7.16;10.464
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.783;6.0;10.74;7.16;10.464
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.812;6.0;10.74;7.16;10.464
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.836;6.0;10.74;7.16;10.463
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.86;6.0;10.74;7.15;10.463
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.884;6.0;10.73;7.15;10.462
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.909;6.0;10.73;7.15;10.462
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.938;6.0;10.73;7.14;10.461
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.962;6.0;10.73;7.14;10.461
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;5.986;6.0;10.73;7.14;10.46
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.01;6.0;10.73;7.13;10.46
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.038;6.0;10.73;7.13;10.46
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.063;6.0;10.73;7.12;10.46
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.086;6.0;10.73;7.12;10.459
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.11;6.0;10.73;7.12;10.459
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.134;6.0;10.73;7.11;10.459
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.163;6.0;10.73;7.11;10.459
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.187;6.0;10.73;7.1;10.459
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.211;6.0;10.73;7.1;10.459
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.239;6.0;10.73;7.09;10.46
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.263;6.0;10.73;7.09;10.46
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.286;6.0;10.73;7.09;10.46
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.31;6.0;10.73;7.08;10.459
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.333;6.0;10.73;7.08;10.459
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.361;6.0;10.73;7.08;10.458
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.384;6.0;10.73;7.07;10.458
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.408;6.0;10.72;7.07;10.458
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.432;6.0;10.72;7.07;10.458
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.461;6.0;10.73;7.07;10.458
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.485;6.0;10.72;7.07;10.458
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.51;6.0;10.72;7.07;10.457
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.534;6.0;10.72;7.06;10.457
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.559;6.0;10.72;7.06;10.457
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.588;6.0;10.72;7.06;10.456
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.612;6.0;10.72;7.06;10.456
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.637;6.0;10.72;7.06;10.456
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.663;6.0;10.72;7.06;10.456
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.694;6.0;10.72;7.06;10.456
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.72;6.0;10.72;7.06;10.456
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.746;6.0;10.72;7.06;10.455
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.772;6.0;10.72;7.06;10.455
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.804;6.0;10.72;7.06;10.455
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.832;6.0;10.72;7.06;10.455
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.859;6.0;10.72;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.887;6.0;10.72;7.06;10.455
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;6.922;6.0;10.72;7.06;10.455
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.667;6.0;10.72;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.692;6.0;10.72;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.746;6.0;10.72;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.766;6.0;10.72;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.777;6.0;10.72;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.8;6.0;10.72;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.815;6.0;10.71;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.834;6.0;10.71;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.864;6.0;10.71;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.887;6.0;10.71;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.907;6.0;10.71;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.927;6.0;10.71;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.948;6.0;10.71;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.972;6.0;10.71;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;7.993;6.0;10.71;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;8.014;6.0;10.71;7.06;10.454
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;8.036;6.0;10.71;7.06;10.453
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;8.063;6.0;10.71;7.06;10.453
